iter	Logloss
0	0.464808961
1	0.3720833239
2	0.3366944116
3	0.3033412657
4	0.2901207615
5	0.2782858961
6	0.2654999199
7	0.2584942331
8	0.2517660247
9	0.2457543923
10	0.2411612172
11	0.2378777566
12	0.2348079875
13	0.2321575076
14	0.2294864998
15	0.2271729905
16	0.2255771353
17	0.2238962325
18	0.2225640971
19	0.2208830956
20	0.2198706045
21	0.2178685445
22	0.216557735
23	0.21502363
24	0.2137419239
25	0.212599769
26	0.2114665573
27	0.2095478849
28	0.2080594283
29	0.2067650185
30	0.205868614
31	0.2050899388
32	0.2043413583
33	0.2032776982
34	0.2026211888
35	0.2020565734
36	0.2013358301
37	0.2006650628
38	0.1997114761
39	0.1987419852
40	0.1979706678
41	0.1969559469
